#       time           order
         0          1.0699
         1          1.1832
         2          1.1843
         3          1.1846
         4          1.1846
         5          1.1847
         6          1.1861
         7          1.1864
         8          1.1864
         9          1.1865
        10          1.1865
        11          1.1881
        12          1.1881
        13          1.1887
        14          1.1888
        15          1.1888
        16          1.1902
        17          1.0699
