#       time           order
         0          1.0699
         1          1.1906
         2          1.1907
         3          1.1911
         4          1.1912
         5          1.1915
         6          1.1915
         7          1.1917
         8          1.1919
         9          1.1925
        10          1.1931
        11          1.1934
        12          1.1934
        13          1.1968
        14          1.1973
        15          1.1990
        16          1.2002
        17          1.2006
        18          1.0699
