#Lam	[0+]	[1+]
-0.1	1.0	0.0
-0.095	0.9031785942132322	0.0
-0.09	0.8454443485403819	0.0
-0.085	0.7967751216522185	0.0
-0.08	0.7466631640835116	0.0
-0.075	0.7024388820088149	0.0
-0.07	0.6571304670527848	0.0
-0.065	0.6161085467198726	0.0
-0.06	0.5712671428511861	0.0
-0.055	0.527334742706079	0.0
-0.05	0.48606263786209	0.0
-0.045	0.44802625269469565	0.0
-0.04	0.41511865000437825	0.0
-0.035	0.3857720068550556	0.0
-0.03	0.35927746713200986	0.0
-0.025	0.3363105290151487	0.0
-0.02	0.31632912606380537	0.0
-0.015	0.29829916229886205	0.0
-0.01	0.2831546598950059	0.0
-0.005	0.2706287553737548	0.0
0.0	0.2591786442501345	0.2591786442501345
0.005	0.2508141420964628	0.25059386092847946
0.01	0.24399661416961677	0.24373853638278892
0.015	0.2388011158229194	0.23859073708388134
0.02	0.23497329280344253	0.23463612177244955
0.025	0.23163332958056568	0.2313910561300406
0.03	0.22938583872272467	0.22840041942613754
0.035	0.22746358772928368	0.22611165565604377
0.04	0.22573731460285293	0.22444690079116483
0.045	0.22440716695229398	0.22297406430662436
0.05	0.22343561710094528	0.2219552518761418
0.055	0.22240152112182734	0.2208673488287374
0.06	0.2216759860397043	0.22011722213072868
0.065	0.22075447309057097	0.21931555163914337
0.07	0.2197245468533043	0.21842395367791376
0.075	0.21916163170338124	0.2174709418349758
0.08	0.21791487888984792	0.2165354768153831
0.085	0.21686410394332487	0.21571735617691162
0.09	0.21604266479862233	0.21469415704059275
0.095	0.21497104114284285	0.21388151978441666
0.1	0.21392860568002234	0.21282651703078456
