#Lam	[0+]	[1+]
-0.1	1.0	0.0
-0.095	0.9031785942132322	0.0
-0.09	0.8454443485403819	0.0
-0.085	0.7967751216522185	0.0
-0.08	0.7466631640835116	0.0
-0.075	0.7024388820088149	0.0
-0.07	0.6571304670527848	0.0
-0.065	0.6161085467198726	0.0
-0.06	0.5712671428511861	0.0
-0.055	0.527334742706079	0.0
-0.05	0.48606263786209	0.0
-0.045	0.44802625269469565	0.0
-0.04	0.41511865000437825	0.0
-0.035	0.3857720068550556	0.0
-0.03	0.35927746713200986	0.0
-0.025	0.3363105290151487	0.0
-0.02	0.31632912606380537	0.0
-0.015	0.29829916229886205	0.0
-0.01	0.2831546598950059	0.0
-0.005	0.2706287553737548	0.0
0.0	0.2591786442501345	1.0
0.005	0.2508141420964628	0.9668769649347737
0.01	0.24399661416961677	0.9404267743122993
0.015	0.2388011158229194	0.920564801062916
0.02	0.23497329280344253	0.9053065404030788
0.025	0.23163332958056568	0.8927859654467675
0.03	0.22938583872272467	0.8812470644985212
0.035	0.22746358772928368	0.8724162297794196
0.04	0.22573731460285293	0.865993035192167
0.045	0.22440716695229398	0.860310327464446
0.05	0.22343561710094528	0.8563794000787032
0.055	0.22240152112182734	0.8521818974235289
0.06	0.2216759860397043	0.8492876516411304
0.065	0.22075447309057097	0.8461945322450292
0.07	0.2197245468533043	0.8427544418633188
0.075	0.21916163170338124	0.8390773956865583
0.08	0.21791487888984792	0.8354680511655264
0.085	0.21686410394332487	0.8323114614671795
0.09	0.21604266479862233	0.8283636086675045
0.095	0.21497104114284285	0.8252281757365728
0.1	0.21392860568002234	0.8211576136858897
