#       time           order
         0         -0.5501
         1         -0.5458
         2         -0.5456
         3         -0.5454
         4         -0.5453
         5         -0.5448
         6         -0.5447
         7         -0.5445
         8         -0.5444
         9         -0.5444
        10         -0.5444
        11         -0.5443
        12         -0.5443
        13         -0.5443
        14         -0.5442
        15         -0.5442
        16         -0.5441
        17         -0.5440
        18         -0.5440
        19         -0.5438
        20         -0.5437
        21         -0.5437
        22         -0.5437
        23         -0.5436
        24         -0.5435
        25         -0.5435
        26         -0.5501
