#       time           order
         0          1.0699
         1          1.2951
         2          1.2951
         3          1.2958
         4          1.2980
         5          1.2998
         6          1.3016
         7          1.3034
         8          1.3082
         9          1.3091
        10          1.3116
        11          1.3132
        12          1.3134
        13          1.3151
        14          1.3161
        15          1.3174
        16          1.3175
        17          1.3175
        18          1.3185
        19          1.3187
        20          1.3204
        21          1.3206
        22          1.3215
        23          1.3223
        24          1.3224
        25          1.3225
        26          1.3226
        27          1.3236
        28          1.3239
        29          1.3239
        30          1.0699
