#       time           order
         0          1.0699
         1          1.2057
         2          1.2058
         3          1.2058
         4          1.2059
         5          1.2059
         6          1.2068
         7          1.2081
         8          1.2081
         9          1.2087
        10          1.2089
        11          1.2098
        12          1.2112
        13          1.2112
        14          1.2117
        15          1.2117
        16          1.2122
        17          1.2133
        18          1.2133
        19          1.2143
        20          1.0699
