#       time           order
         0          7.1067
         1          8.6678
         2          8.6684
         3          8.6688
         4          8.6706
         5          8.6716
         6          8.6726
         7          8.6731
         8          8.6737
         9          8.6739
        10          8.6754
        11          8.6761
        12          8.6768
        13          8.6778
        14          8.6797
        15          8.6802
        16          8.6821
        17          8.6822
        18          8.6833
        19          8.6880
        20          8.6910
        21          7.1067
