#       time           order
         0         -0.5501
         1         -0.5470
         2         -0.5469
         3         -0.5469
         4         -0.5469
         5         -0.5467
         6         -0.5466
         7         -0.5465
         8         -0.5462
         9         -0.5462
        10         -0.5462
        11         -0.5461
        12         -0.5461
        13         -0.5458
        14         -0.5456
        15         -0.5454
        16         -0.5453
        17         -0.5448
        18         -0.5447
        19         -0.5445
        20         -0.5444
        21         -0.5501
