#       time           order
         0         -0.5501
         1         -0.5044
         2         -0.5043
         3         -0.5043
         4         -0.5043
         5         -0.5042
         6         -0.5042
         7         -0.5041
         8         -0.5041
         9         -0.5041
        10         -0.5041
        11         -0.5040
        12         -0.5040
        13         -0.5040
        14         -0.5040
        15         -0.5039
        16         -0.5039
        17         -0.5038
        18         -0.5038
        19         -0.5037
        20         -0.5037
        21         -0.5036
        22         -0.5036
        23         -0.5036
        24         -0.5035
        25         -0.5035
        26         -0.5035
        27         -0.5035
        28         -0.5035
        29         -0.5035
        30         -0.5035
        31         -0.5035
        32         -0.5035
        33         -0.5035
        34         -0.5034
        35         -0.5034
        36         -0.5034
        37         -0.5034
        38         -0.5033
        39         -0.5033
        40         -0.5033
        41         -0.5033
        42         -0.5032
        43         -0.5032
        44         -0.5032
        45         -0.5032
        46         -0.5032
        47         -0.5032
        48         -0.5031
        49         -0.5031
        50         -0.5031
        51         -0.5031
        52         -0.5031
        53         -0.5031
        54         -0.5030
        55         -0.5030
        56         -0.5030
        57         -0.5030
        58         -0.5030
        59         -0.5029
        60         -0.5029
        61         -0.5501
