#       time           order
         0         -0.5501
         1         -0.4868
         2         -0.4868
         3         -0.4867
         4         -0.4867
         5         -0.4867
         6         -0.4864
         7         -0.4864
         8         -0.4864
         9         -0.4864
        10         -0.4863
        11         -0.4863
        12         -0.4863
        13         -0.4861
        14         -0.4859
        15         -0.4859
        16         -0.4857
        17         -0.4857
        18         -0.4857
        19         -0.4856
        20         -0.4856
        21         -0.4856
        22         -0.4855
        23         -0.4854
        24         -0.4854
        25         -0.4854
        26         -0.4852
        27         -0.4852
        28         -0.4852
        29         -0.4851
        30         -0.4851
        31         -0.4851
        32         -0.4850
        33         -0.4850
        34         -0.4850
        35         -0.4849
        36         -0.4848
        37         -0.4847
        38         -0.4847
        39         -0.4847
        40         -0.4846
        41         -0.4846
        42         -0.4846
        43         -0.4846
        44         -0.4846
        45         -0.4845
        46         -0.4845
        47         -0.4844
        48         -0.4844
        49         -0.4844
        50         -0.4844
        51         -0.4844
        52         -0.4843
        53         -0.4843
        54         -0.4843
        55         -0.4843
        56         -0.4842
        57         -0.4842
        58         -0.4841
        59         -0.4841
        60         -0.4841
        61         -0.4840
        62         -0.4840
        63         -0.4840
        64         -0.4840
        65         -0.4840
        66         -0.4839
        67         -0.4839
        68         -0.4839
        69         -0.4839
        70         -0.4839
        71         -0.4838
        72         -0.4838
        73         -0.4838
        74         -0.4838
        75         -0.4837
        76         -0.4837
        77         -0.4837
        78         -0.4837
        79         -0.4837
        80         -0.4837
        81         -0.4837
        82         -0.4836
        83         -0.4836
        84         -0.4836
        85         -0.4835
        86         -0.5501
