#       time           order
         0         10.2212
         1         11.7801
         2         11.7805
         3         11.7874
         4         11.7879
         5         11.7888
         6         11.7896
         7         11.7911
         8         11.7941
         9         11.7958
        10         11.7977
        11         11.7988
        12         11.8031
        13         11.8085
        14         11.8089
        15         11.8256
        16         11.8306
        17         11.8314
        18         11.8336
        19         11.8342
        20         11.8345
        21         11.8376
        22         11.8387
        23         11.8423
        24         11.8433
        25         11.8583
        26         11.8602
        27         11.8603
        28         11.8635
        29         11.8636
        30         11.8677
        31         10.2212
