#       time           order
         0          1.0699
         1          1.3707
         2          1.3712
         3          1.3719
         4          1.3778
         5          1.3802
         6          1.3836
         7          1.3855
         8          1.3888
         9          1.3888
        10          1.3888
        11          1.3892
        12          1.3894
        13          1.3922
        14          1.3930
        15          1.3978
        16          1.3993
        17          1.4004
        18          1.4039
        19          1.4057
        20          1.4064
        21          1.4070
        22          1.4074
        23          1.4096
        24          1.4114
        25          1.4119
        26          1.4120
        27          1.4163
        28          1.4179
        29          1.4183
        30          1.4186
        31          1.4188
        32          1.4199
        33          1.4270
        34          1.4283
        35          1.4297
        36          1.0699
