#       time           order
         0         -0.5501
         1         -0.5095
         2         -0.5094
         3         -0.5094
         4         -0.5094
         5         -0.5094
         6         -0.5094
         7         -0.5093
         8         -0.5093
         9         -0.5093
        10         -0.5093
        11         -0.5093
        12         -0.5093
        13         -0.5093
        14         -0.5092
        15         -0.5092
        16         -0.5092
        17         -0.5091
        18         -0.5091
        19         -0.5090
        20         -0.5090
        21         -0.5090
        22         -0.5090
        23         -0.5090
        24         -0.5090
        25         -0.5090
        26         -0.5090
        27         -0.5089
        28         -0.5089
        29         -0.5088
        30         -0.5088
        31         -0.5088
        32         -0.5087
        33         -0.5087
        34         -0.5087
        35         -0.5087
        36         -0.5087
        37         -0.5087
        38         -0.5087
        39         -0.5086
        40         -0.5086
        41         -0.5086
        42         -0.5086
        43         -0.5086
        44         -0.5086
        45         -0.5085
        46         -0.5085
        47         -0.5085
        48         -0.5084
        49         -0.5084
        50         -0.5084
        51         -0.5084
        52         -0.5083
        53         -0.5083
        54         -0.5083
        55         -0.5083
        56         -0.5501
