#       time           order
         0         13.3265
         1         14.8915
         2         14.8939
         3         14.8944
         4         14.8948
         5         14.8956
         6         14.8967
         7         14.9015
         8         14.9022
         9         14.9025
        10         14.9060
        11         14.9091
        12         14.9093
        13         14.9095
        14         14.9126
        15         14.9147
        16         14.9202
        17         14.9207
        18         14.9211
        19         14.9228
        20         14.9240
        21         14.9245
        22         14.9260
        23         14.9266
        24         14.9269
        25         14.9278
        26         14.9304
        27         14.9316
        28         14.9348
        29         14.9369
        30         14.9375
        31         14.9402
        32         14.9415
        33         14.9421
        34         14.9425
        35         14.9432
        36         14.9441
        37         14.9442
        38         14.9445
        39         14.9455
        40         14.9456
        41         13.3265
