#       time           order
         0          1.0699
         1          1.2559
         2          1.2591
         3          1.2611
         4          1.2613
         5          1.2664
         6          1.2671
         7          1.2683
         8          1.2702
         9          1.2706
        10          1.2708
        11          1.2720
        12          1.2730
        13          1.2757
        14          1.2757
        15          1.2780
        16          1.2780
        17          1.2793
        18          1.2793
        19          1.2826
        20          1.2838
        21          1.2841
        22          1.2844
        23          1.2855
        24          1.2864
        25          1.2883
        26          1.0699
