#       time           order
         0          1.0699
         1          1.3273
         2          1.3309
         3          1.3309
         4          1.3312
         5          1.3318
         6          1.3334
         7          1.3356
         8          1.3356
         9          1.3387
        10          1.3392
        11          1.3394
        12          1.3408
        13          1.3436
        14          1.3440
        15          1.3442
        16          1.3479
        17          1.3479
        18          1.3510
        19          1.3513
        20          1.3518
        21          1.3524
        22          1.3524
        23          1.3541
        24          1.3559
        25          1.3559
        26          1.3630
        27          1.3646
        28          1.3652
        29          1.3652
        30          1.3668
        31          1.3674
        32          1.3689
        33          1.0699
