#       time           order
         0          1.0699
         1          1.2664
         2          1.2671
         3          1.2683
         4          1.2702
         5          1.2706
         6          1.2708
         7          1.2720
         8          1.2730
         9          1.2757
        10          1.2757
        11          1.2780
        12          1.2780
        13          1.2793
        14          1.2793
        15          1.2826
        16          1.2838
        17          1.2841
        18          1.2844
        19          1.2855
        20          1.2864
        21          1.2883
        22          1.2886
        23          1.2900
        24          1.2902
        25          1.2910
        26          1.2911
        27          1.0699
