#       time           order
         0         -0.5501
         1         -0.4902
         2         -0.4902
         3         -0.4902
         4         -0.4902
         5         -0.4899
         6         -0.4899
         7         -0.4899
         8         -0.4898
         9         -0.4897
        10         -0.4894
        11         -0.4894
        12         -0.4893
        13         -0.4892
        14         -0.4891
        15         -0.4891
        16         -0.4891
        17         -0.4891
        18         -0.4890
        19         -0.4888
        20         -0.4885
        21         -0.4885
        22         -0.4883
        23         -0.4883
        24         -0.4881
        25         -0.4880
        26         -0.4879
        27         -0.4879
        28         -0.4878
        29         -0.4878
        30         -0.4876
        31         -0.4876
        32         -0.4875
        33         -0.4875
        34         -0.4874
        35         -0.4873
        36         -0.4873
        37         -0.4873
        38         -0.4873
        39         -0.4872
        40         -0.4872
        41         -0.4871
        42         -0.4871
        43         -0.4871
        44         -0.4870
        45         -0.4870
        46         -0.4869
        47         -0.4868
        48         -0.4868
        49         -0.4867
        50         -0.4867
        51         -0.4867
        52         -0.4864
        53         -0.4864
        54         -0.4864
        55         -0.4864
        56         -0.4863
        57         -0.4863
        58         -0.4863
        59         -0.4861
        60         -0.4859
        61         -0.4859
        62         -0.4857
        63         -0.4857
        64         -0.4857
        65         -0.4856
        66         -0.4856
        67         -0.4856
        68         -0.4855
        69         -0.4854
        70         -0.4854
        71         -0.4854
        72         -0.4852
        73         -0.4852
        74         -0.4852
        75         -0.4851
        76         -0.4851
        77         -0.4851
        78         -0.4850
        79         -0.4850
        80         -0.4850
        81         -0.5501
