#       time           order
         0         -0.5501
         1         -0.5355
         2         -0.5354
         3         -0.5353
         4         -0.5353
         5         -0.5353
         6         -0.5352
         7         -0.5352
         8         -0.5352
         9         -0.5351
        10         -0.5350
        11         -0.5350
        12         -0.5350
        13         -0.5349
        14         -0.5349
        15         -0.5348
        16         -0.5348
        17         -0.5348
        18         -0.5347
        19         -0.5347
        20         -0.5347
        21         -0.5346
        22         -0.5346
        23         -0.5346
        24         -0.5345
        25         -0.5344
        26         -0.5344
        27         -0.5343
        28         -0.5343
        29         -0.5343
        30         -0.5343
        31         -0.5343
        32         -0.5342
        33         -0.5340
        34         -0.5340
        35         -0.5340
        36         -0.5340
        37         -0.5339
        38         -0.5339
        39         -0.5338
        40         -0.5338
        41         -0.5501
