#       time           order
         0         -0.5501
         1         -0.5408
         2         -0.5408
         3         -0.5407
         4         -0.5407
         5         -0.5407
         6         -0.5406
         7         -0.5406
         8         -0.5406
         9         -0.5406
        10         -0.5406
        11         -0.5406
        12         -0.5406
        13         -0.5405
        14         -0.5405
        15         -0.5405
        16         -0.5405
        17         -0.5404
        18         -0.5404
        19         -0.5404
        20         -0.5403
        21         -0.5403
        22         -0.5402
        23         -0.5399
        24         -0.5399
        25         -0.5399
        26         -0.5398
        27         -0.5398
        28         -0.5396
        29         -0.5396
        30         -0.5396
        31         -0.5395
        32         -0.5395
        33         -0.5395
        34         -0.5394
        35         -0.5394
        36         -0.5501
