#       time           order
         0          1.0699
         1          1.2371
         2          1.2374
         3          1.2374
         4          1.2389
         5          1.2402
         6          1.2405
         7          1.2407
         8          1.2413
         9          1.2415
        10          1.2415
        11          1.2424
        12          1.2426
        13          1.2433
        14          1.2454
        15          1.2459
        16          1.2460
        17          1.2465
        18          1.2465
        19          1.2466
        20          1.2466
        21          1.2472
        22          1.2483
        23          1.2487
        24          1.0699
