#       time           order
         0          8.6655
         1         10.2229
         2         10.2246
         3         10.2255
         4         10.2256
         5         10.2277
         6         10.2279
         7         10.2316
         8         10.2334
         9         10.2338
        10         10.2347
        11         10.2354
        12         10.2355
        13         10.2377
        14         10.2385
        15         10.2389
        16         10.2425
        17         10.2436
        18         10.2437
        19         10.2449
        20         10.2492
        21         10.2500
        22         10.2502
        23         10.2532
        24         10.2566
        25         10.2586
        26          8.6655
