#       time           order
         0         -0.5501
         1         -0.5438
         2         -0.5437
         3         -0.5437
         4         -0.5437
         5         -0.5436
         6         -0.5435
         7         -0.5435
         8         -0.5435
         9         -0.5435
        10         -0.5433
        11         -0.5430
        12         -0.5429
        13         -0.5428
        14         -0.5427
        15         -0.5426
        16         -0.5425
        17         -0.5425
        18         -0.5424
        19         -0.5422
        20         -0.5421
        21         -0.5420
        22         -0.5420
        23         -0.5420
        24         -0.5420
        25         -0.5419
        26         -0.5417
        27         -0.5416
        28         -0.5415
        29         -0.5414
        30         -0.5414
        31         -0.5501
