#       time           order
         0         14.8881
         1         16.4475
         2         16.4505
         3         16.4506
         4         16.4508
         5         16.4508
         6         16.4509
         7         16.4511
         8         16.4512
         9         16.4525
        10         16.4547
        11         16.4561
        12         16.4567
        13         16.4572
        14         16.4587
        15         16.4595
        16         16.4601
        17         16.4621
        18         16.4624
        19         16.4630
        20         16.4654
        21         16.4665
        22         16.4676
        23         16.4679
        24         16.4721
        25         16.4721
        26         16.4740
        27         16.4742
        28         16.4788
        29         16.4804
        30         16.4818
        31         16.4824
        32         16.4841
        33         16.4846
        34         16.4861
        35         16.4865
        36         16.4868
        37         16.4882
        38         16.4884
        39         16.4895
        40         16.4896
        41         16.4911
        42         16.4919
        43         16.4940
        44         16.4940
        45         16.4943
        46         14.8881
