#       time           order
         0          1.0699
         1          1.4074
         2          1.4096
         3          1.4114
         4          1.4119
         5          1.4120
         6          1.4163
         7          1.4179
         8          1.4183
         9          1.4186
        10          1.4188
        11          1.4199
        12          1.4270
        13          1.4283
        14          1.4297
        15          1.4325
        16          1.4379
        17          1.4389
        18          1.4411
        19          1.4421
        20          1.4456
        21          1.4456
        22          1.4493
        23          1.4507
        24          1.4554
        25          1.4599
        26          1.4601
        27          1.4601
        28          1.4623
        29          1.4646
        30          1.4674
        31          1.4693
        32          1.4711
        33          1.4716
        34          1.4746
        35          1.4767
        36          1.4778
        37          1.4800
        38          1.0699
