#       time           order
         0          1.0699
         1          1.1990
         2          1.2002
         3          1.2006
         4          1.2010
         5          1.2011
         6          1.2025
         7          1.2048
         8          1.2052
         9          1.2057
        10          1.2058
        11          1.2058
        12          1.2059
        13          1.2059
        14          1.2068
        15          1.2081
        16          1.2081
        17          1.2087
        18          1.2089
        19          1.0699
