#       time           order
         0          1.0699
         1          1.3034
         2          1.3082
         3          1.3091
         4          1.3116
         5          1.3132
         6          1.3134
         7          1.3151
         8          1.3161
         9          1.3174
        10          1.3175
        11          1.3175
        12          1.3185
        13          1.3187
        14          1.3204
        15          1.3206
        16          1.3215
        17          1.3223
        18          1.3224
        19          1.3225
        20          1.3226
        21          1.3236
        22          1.3239
        23          1.3239
        24          1.3240
        25          1.3273
        26          1.3309
        27          1.3309
        28          1.3312
        29          1.3318
        30          1.3334
        31          1.0699
