#       time           order
         0          1.0699
         1          1.2299
         2          1.2311
         3          1.2311
         4          1.2313
         5          1.2326
         6          1.2336
         7          1.2343
         8          1.2345
         9          1.2345
        10          1.2359
        11          1.2359
        12          1.2362
        13          1.2364
        14          1.2366
        15          1.2368
        16          1.2371
        17          1.2374
        18          1.2374
        19          1.2389
        20          1.2402
        21          1.2405
        22          1.2407
        23          1.0699
