#       time           order
         0          1.0699
         1          1.2133
         2          1.2133
         3          1.2143
         4          1.2143
         5          1.2156
         6          1.2164
         7          1.2170
         8          1.2171
         9          1.2191
        10          1.2193
        11          1.2207
        12          1.2237
        13          1.2238
        14          1.2238
        15          1.2251
        16          1.2262
        17          1.2262
        18          1.2273
        19          1.2274
        20          1.2281
        21          1.0699
